Open,High,Low,Close,Volume
1222510,1222700,1222510,1222599,6767
1222600,1222800,1222500,1222700,10834
1222750,1222800,1222700,1222750,3600
1222700,1222800,1222700,1222700,6675
1222799,1222800,1222700,1222799,9061
1222800,1222900,1222730,1222900,4842
1222900,1223100,1222900,1223100,7913
1223100,1223200,1222799,1222899,10824
1222825,1223200,1222825,1223000,4316
1223100,1223100,1223000,1223000,1995
1223000,1223500,1222800,1223500,24126
1223400,1223500,1223300,1223500,2714
1223400,1223700,1223400,1223600,9259
1223501,1223600,1223400,1223600,1009
1223600,1223600,1223400,1223600,164
1223500,1223600,1223300,1223300,5007
1223399,1223400,1222600,1222650,22380
1222700,1222800,1222600,1222700,3402
1222600,1223100,1222600,1223000,6918
1223100,1223300,1222690,1223245,1477
1223300,1223300,1222600,1223300,2768
1223300,1223300,1223200,1223200,1895
1223300,1223300,1223200,1223250,6797
1223300,1223400,1223200,1223237,11330
1223400,1223400,1223200,1223290,6110
1223300,1223300,1223100,1223280,4682
1223100,1223275,1223100,1223200,3327
1223200,1223250,1223200,1223200,500
1223200,1223300,1223200,1223201,3971
1223290,1223290,1223200,1223200,2100
1223100,1223250,1223100,1223200,1900
1223100,1223300,1223100,1223300,9826
1223400,1223400,1223300,1223300,1550
1223300,1223399,1223260,1223399,407
1223300,1223400,1223300,1223400,268
1223300,1223990,1223300,1223801,18817
1224000,1224000,1223700,1223910,10101
1223800,1223800,1223600,1223647,1624
1223600,1223900,1223260,1223300,9330
1223300,1223900,1223200,1223328,5503
1223390,1223600,1223390,1223590,6090
1223535,1223600,1223500,1223507,2558
1223501,1223600,1223400,1223600,1981
1223600,1223700,1223500,1223672,2083
1223700,1223900,1223600,1223900,2050
1223947,1223950,1223800,1223899,3891
1223805,1223900,1223805,1223848,1700
1223810,1224200,1223810,1224200,12988
1224200,1224500,1224200,1224401,10009
1224499,1224700,1224400,1224600,5154
1224601,1224700,1224600,1224600,577
1224600,1224600,1224400,1224400,4237
1224450,1224450,1223700,1224000,18891
1224000,1224500,1223880,1224300,5523
1224300,1224300,1224280,1224280,318
1224300,1224500,1224100,1224380,2900
1224500,1224600,1224400,1224479,5156
1224500,1224700,1224500,1224600,6290
1224600,1224900,1224600,1224900,6228
1224700,1224739,1224300,1224300,4620
1224248,1224248,1223700,1223700,3761
1223700,1224301,1223700,1224200,6291
1224300,1224399,1224000,1224000,3910
1224000,1224399,1223900,1223900,8543
1223720,1223800,1223600,1223700,6480
1223900,1223900,1223700,1223700,1360
1223839,1223900,1223700,1223880,1234
1223900,1223900,1223700,1223701,2335
1223899,1223899,1223300,1223400,18573
1223401,1223701,1223300,1223356,7837
1223900,1223900,1223300,1223300,1582
1223300,1223400,1223300,1223300,6991
1223328,1223400,1223300,1223400,2970
1223390,1223600,1223300,1223600,3133
1223600,1223700,1223520,1223600,3117
1223700,1223899,1223690,1223850,4336
1223800,1223900,1223600,1223600,2450
1223899,1223899,1223600,1223600,2348
1223600,1223610,1223500,1223610,4593
1223600,1223700,1223600,1223700,2150
1223600,1223660,1223600,1223610,2218
1223601,1223700,1223601,1223700,4403
1223700,1223701,1223699,1223700,1992
1223760,1223800,1223650,1223675,4770
1223610,1223800,1223600,1223699,7249
1223600,1223647,1223600,1223647,300
1223700,1223700,1223000,1223200,33638
1223100,1223600,1223000,1223200,9713
1223200,1223500,1223200,1223400,2881
1223300,1223301,1223200,1223200,5985
1223300,1223301,1223300,1223300,1109
1223301,1223386,1223200,1223300,1227
1223340,1223340,1223340,1223340,228
1223300,1223300,1222900,1222948,6147
1223000,1223390,1222900,1223174,4306
1223300,1223500,1223200,1223500,1914
1223450,1223500,1223300,1223450,5182
1223401,1223475,1223401,1223475,38
1223410,1223499,1223400,1223400,8507
1223400,1223600,1223400,1223400,6987
1223500,1223500,1223500,1223500,100
1223500,1223700,1223400,1223630,5469
1223675,1223703,1223603,1223703,4300
1223400,1223799,1223400,1223799,302
1223700,1223700,1223670,1223700,10554
1223700,1223800,1223650,1223702,8340
1223601,1223800,1223600,1223600,5572
1223700,1223900,1223600,1223800,2152
1223700,1223820,1223700,1223820,1109
1223701,1223800,1223700,1223800,770
1223800,1223900,1223700,1223701,6641
1223900,1223999,1223800,1223825,1790
1224000,1224200,1223900,1224200,6869
1224120,1224500,1224120,1224500,8435
1224401,1224500,1224401,1224453,5612
1224500,1224700,1224490,1224600,2478
1224500,1224575,1224400,1224487,1271
1224400,1224400,1224000,1224000,1506
1224120,1224120,1224000,1224000,350
1224099,1224200,1223901,1224101,1945
1224100,1224200,1223700,1223700,5772
1223839,1223900,1223800,1223800,909
1223701,1223960,1223701,1223960,4022
1224000,1224199,1224000,1224199,2099
1224000,1224400,1224000,1224400,3265
1224460,1224460,1224460,1224460,100
1224425,1224600,1224425,1224600,6447
1224700,1224700,1224600,1224700,858
1224650,1224799,1224600,1224799,1311
1224800,1225700,1224690,1225500,57244
1225600,1225600,1225000,1225000,11535
1225060,1225300,1225000,1225250,3378
1225202,1225300,1225100,1225250,1151
1225300,1225300,1225200,1225253,6050
1225299,1225300,1225200,1225201,1732
1225200,1225200,1224900,1225000,28930
1224900,1225039,1224900,1224950,1949
1224900,1225100,1224900,1225020,1603
1225100,1225100,1224900,1224900,1314
1224988,1224988,1224200,1224300,23460
1224220,1224220,1224000,1224000,2219
1224000,1224001,1223701,1224000,6571
1223900,1224300,1223900,1224100,8818
1224000,1224300,1224000,1224200,1510
1224140,1224200,1224100,1224199,3250
1224200,1224200,1224100,1224110,1558
1224101,1224101,1224101,1224101,7
1224100,1224100,1224000,1224000,3517
1224100,1224199,1224000,1224100,2103
1224200,1224250,1224000,1224250,3500
1224220,1224320,1224200,1224300,3784
1224200,1224200,1224200,1224200,500
1224230,1224230,1223900,1224000,5391
1223900,1224270,1223800,1224270,4455
1224300,1224390,1224200,1224390,1034
1224390,1224400,1224350,1224400,2030
1224350,1224500,1224350,1224453,1200
1224450,1224498,1224450,1224498,20
1224401,1224601,1224401,1224601,4107
1224400,1224700,1224400,1224700,2347
1224790,1224790,1224700,1224700,1722
1224700,1224800,1224700,1224800,32956
1224800,1224800,1224501,1224700,10831
1224700,1224700,1224500,1224570,2260
1224514,1224514,1224400,1224500,1950
1224200,1224200,1223800,1224020,7043
1224100,1224200,1224100,1224200,4599
1224180,1224200,1224100,1224100,614
1224100,1224100,1224000,1224010,4032
1224085,1224100,1224000,1224090,498
1224101,1224190,1224101,1224125,5707
1224101,1224500,1224101,1224450,4212
1224310,1224400,1224199,1224328,4386
1224400,1224500,1224200,1224401,3163
1224500,1224500,1224400,1224400,384
1224410,1224410,1224410,1224410,223
1224400,1224400,1224350,1224400,2423
1224400,1224400,1224001,1224001,2142
1224000,1224018,1223999,1224000,4764
1224100,1224200,1223300,1223500,23134
1223500,1223600,1223401,1223500,4405
1223500,1223500,1223400,1223400,2361
1223400,1223600,1223400,1223599,13399
1223600,1223710,1223153,1223400,12402
1223300,1223600,1222801,1223350,18510
1223400,1223700,1223400,1223659,5177
1223595,1223950,1223500,1223850,9951
1223900,1224099,1223800,1224000,4548
1224000,1224000,1223800,1223925,1001
1223901,1224000,1223901,1223920,121
1224099,1224100,1223810,1224000,9727
